prenda,tau_hat_oobpredictions,tau_hat_oobvarianceestimates
78133041,0.09518730787952309,0.0042800389462747685
42124669,0.17229720956469968,0.003284643467078516
42123981,0.13656852344103906,0.0028316142977305096
42123978,0.13601139268416607,0.005549284980928209
42123980,0.13627853483094418,0.004685912384928563
42123982,0.134853086651147,0.005253770003580487
42123979,0.14990484662727868,0.004978401389882652
5524248,0.16629431829910526,0.004299856158531246
10462066,0.1552971261754044,7.907896177047017e-4
3595471,0.2596399203089734,0.005346272203923085
78133121,0.09606625524952674,0.004247022354965039
42125021,0.08430219115459726,0.003007883495802142
78134822,0.10845301030993944,0.0032140129041133645
5522747,0.19771582067982912,0.0010952171284467353
10463800,0.13541016378326584,0.0053214143274926224
80117247,0.1702984362837053,0.0011432186923153401
80118911,0.17873042592736205,0.0017471135714852454
78132608,0.09353467289511674,0.0010676238923479305
3595411,0.08369534133446146,0.0037901497915255864
5514273,0.16714537926564169,0.0066672949616491
78133514,0.08948313625145732,0.002595344352290585
80118770,0.1849631482226994,0.0036177938015617807
3592101,0.24674901467217963,0.002414268489964651
78133294,0.0898239112015285,0.004326116766038002
42124383,0.12291569340251592,0.004449108136664308
80117915,0.13195337510795202,0.0029769049255388784
3594093,0.180740157925722,0.003881471460251603
3594094,0.18327536032166025,0.0037216222528708323
78134579,0.1816417695741757,0.003981374791493956
5514473,0.16602157579264448,0.003603793704734697
5514472,0.18807715548732926,0.0015513632627527387
78133246,0.06999738290497481,0.008014668963789153
78133302,0.14557995714312105,0.007012070186564057
3586696,0.1725907454492948,0.0075390808692729
78134815,0.13050741288055212,0.0058560746459024185
80117111,0.24873752403747162,0.004194250790340464
10462438,0.14766493517467918,0.006307405713731988
80117948,0.11774363125864502,0.0016638793324371733
80118817,0.12257438394338944,0.004840403648742517
78134238,0.14548783697108475,0.007170227561779183
80117050,0.16378229686189336,0.003979363516518208
5524168,0.1774428694161344,0.0017314479127859101
5524169,0.18049790949426198,0.001556846470150651
5524167,0.1792314446821429,0.0027689538452498
78133298,0.12958974726582467,0.003544352623859457
3595416,0.15277615567049369,0.004693688745205242
3595417,0.14358257372935415,0.009074936207392565
10462663,0.12499427840373495,0.00111525805614424
78136307,0.1446679101741402,0.004141406668178751
42124966,0.16979240984806956,0.0014725303628748978
3595825,0.12785963524162375,0.002215519832664461
80118831,0.11108474309776535,0.005104202492254265
10463192,0.18733745151501208,0.00459539192737291
10463191,0.19090444448480276,0.0034549350584356224
42125177,0.19089112755068366,0.003069418024148907
42125178,0.18338505785286707,0.0023596583560616894
42124516,0.07889256450041278,0.00338909963139128
5521228,0.09640997450303036,0.0036732264078194786
80116972,0.12353262902280208,0.0028473882625193524
80118823,0.20439751787337593,0.004420803151327965
42123807,0.176824886263743,0.003960548191097746
42123801,0.18876869317939343,0.009080989384357536
42123806,0.17268696229683894,0.0039990777248124065
42123805,0.18242649963013538,0.00587831966426969
42123804,0.2015787868095311,0.008415733899559016
42123803,0.17630353835091883,0.004857816104531652
5524106,0.15952658836053302,0.006602860189072485
42124562,0.11217371011248374,0.0016192042792700489
78134221,0.10337100012465714,0.0014230136687277473
5521223,0.15808483875114757,0.005477125538130217
42124249,0.1303681125476167,0.007431592250437825
42124250,0.12197591097435616,0.007190109013621769
80116886,0.19040922059600712,0.003526503096315447
10463861,0.16885120774179452,0.004548356880649109
3594441,0.09245867498096863,0.001042372602120199
80117604,0.11645706789941349,0.004443677732614049
42123733,0.22495412085076286,0.00473167097714052
10462090,0.11050798313812002,0.005048765725325238
80117230,0.17584240081174277,0.002130181844188254
80117229,0.17936106227027213,0.0023341519726414865
80119076,0.10228399666858813,0.002373495592453453
5521205,0.18399896779571204,0.00407185218044187
3594273,0.1461732311048997,0.0063022667661168435
42124735,0.22504618125904371,0.003217736005576999
5524172,0.21943792958906405,0.00455862668015361
5524173,0.2193824021620912,0.004298387001307465
5524505,0.2096564512063018,0.005493196082352334
3591950,0.09336390346743009,0.005672170831785504
3595302,0.1677787753335781,0.0027698976036418547
80117944,0.13230287612188432,8.707941403390458e-4
80118493,0.09141943332690047,0.0029055510720671805
80118097,0.19639285502096632,0.01016684561916367
10462074,0.23123475527019915,8.4967607565714e-4
78132622,0.028219099169269745,0.001395890874339949
78134608,0.2290176943413872,0.006273063854620553
78134609,0.2174840439139082,0.00412587217673108
3594442,0.14932961709257883,0.001142247593143791
78133282,0.10752311205231384,0.0012506235328701037
10462501,0.17668747665010234,8.377015219450455e-4
42125804,0.19957181577616148,0.005479395794231078
10463579,0.13992441361469704,0.0018170397501006044
42125772,0.16510660995947424,0.0022633571171219863
42125774,0.16486144853550266,0.0013342792101138448
42126569,0.23155296785912768,0.0014926860851275769
42123714,0.17609730081591482,0.0028083549116171592
42123713,0.17720332980926057,0.002784056335401284
42123758,0.1349633301482336,0.0013787453385329883
78133137,0.11313301822261843,0.0020189328823289384
78133138,0.11468803597746037,0.0015924781041114977
42125108,0.2400685830986448,0.002959605154548992
42125110,0.24069358458950685,0.004255421878211162
42125107,0.23933891384943706,0.003561561274381717
42125109,0.23254122546106332,0.0034124487629156935
10462896,0.23453756118876573,0.003746271115672369
42123847,0.16160087255241434,0.0027401086051786344
42123846,0.16158906761420025,0.0018723463824534357
78133753,0.12254756643653343,0.0022236559588723797
3591920,0.11297802899767352,0.00213919415985276
3595480,0.05825716691767608,0.0075769299263695
3594491,0.2279644846740972,0.0076004064786547474
3594490,0.2347848634831014,0.00686785892903965
3594489,0.23441996852310132,0.006130486830878715
42122499,0.11270939463040978,0.0072918961280806615
3591978,0.18237407170302616,0.006632606316155553
78134187,0.04778546244314146,0.004755755187728807
78134186,0.06534507514339474,0.005816759512274201
78134188,0.0488804363099155,0.0033411872308283844
78133609,0.05918239359123603,0.0076097755845297484
78134245,0.0889229674063685,0.004527993337982179
5520265,0.09061515134527721,0.007588764765421123
78134291,0.040273774379449706,0.0061928801162448414
78134292,0.03858140740958926,0.0030032007961380116
10463845,0.05164398872005445,0.0034880729877869374
3594123,0.14250640985879434,0.004485419454981955
78136131,0.0704589034308899,0.0017548318692979382
42125564,0.05153614172576171,0.0028784874762161315
78134399,0.11407872054777721,0.0015707958932620978
3594455,0.09597935274928852,0.0033216593369420414
10462870,0.1354487025652101,0.00415818618063663
78134462,0.10951473985298486,0.0019724017042279723
10463906,0.083824764423758,0.0017177302120611362
42124526,0.11332417166404922,0.002631157416541621
80117465,0.15362917821634148,0.004368519182512903
78134225,0.11558787075310524,0.0074901648044491224
78136370,0.10091619228331161,0.0032113395323396755
5514315,0.2513065070104348,0.012465471376218574
5514314,0.2707321127564091,0.007993350709645618
5514313,0.2535261981223276,0.011013613681059246
5514312,0.2692970379618323,0.008090195767627132
5514311,0.2706552048375328,0.011104732571276886
3594459,0.25514655272965236,0.005025442642085327
80116703,0.11936861552107406,0.002103722270876619
80116705,0.12143193402501752,0.0029911777456530174
80116704,0.10443251082613421,0.003547562819444987
5514185,0.2086012114812429,0.00420710017727333
10463443,0.20668258720270025,0.001976007151471102
42125371,0.16319786110346338,0.003278947759110202
42125369,0.1688297961205697,0.0018012835417521795
42125375,0.1800282003335166,0.00207066183192176
42125374,0.16639324056685795,0.0017502501678119424
42125370,0.16525050956587847,0.001899509748307192
42125376,0.16126305168104363,0.004588531712066061
42125372,0.17546814802595948,0.00115808436273867
42125373,0.16604829630897047,0.00171686028842574
78133043,0.17372550385419555,0.002996710762785933
78133023,0.09294480826164928,0.003999224711031444
3591946,0.1545979843831809,0.004308655634205093
80116935,0.11744665021511827,0.006235325798231771
80116934,0.11653593153185052,0.006209749674293314
78132605,0.11270814369125112,0.0035819514071536844
78133641,0.13020517756230657,0.0037448692155048384
78136042,0.08840950629266636,0.0035714765328214056
78134360,0.17294584561758056,0.003808078546439739
80116727,0.11983387983909705,0.0068018034718865346
3591992,0.11490713740638865,0.003395539896556151
3594463,0.08105004835926137,0.002379015912527978
10463021,0.17275070258024694,0.004706347487968699
10463015,0.13053129570687652,0.0035648436643115817
3591947,0.17985052012703293,0.006613480253928618
10463784,0.12080918020562818,0.0028459373665581465
80117146,0.15377578603619535,0.004376085660847585
80117688,0.12673021891187727,0.003584852081491339
80117687,0.12424759597205372,0.004373456115264631
80117686,0.13178502688477872,0.005344309915997383
42125170,0.08980654015312822,0.006043223920318336
78133047,0.16167679142522853,0.004259991465236844
10462072,0.14637780131137823,0.0021511053811543177
78133765,0.16253386250259233,8.31119840715966e-4
78134212,0.16307063359828122,0.0014338150885917283
78134211,0.17585392544201744,0.0011233018190059266
78134024,0.18933490648190313,0.0072530349043483915
78133914,0.10526816364170849,0.0027059504677173296
3594294,0.1473002810794924,0.00660476805071075
42123955,0.12295913351581222,0.004805629737887093
80116741,0.12779425024361077,0.003477198316077743
78133356,0.01579755153656108,0.0011681877598072824
80118794,0.1146680724894618,0.001163248614388907
80117729,0.09936069310251969,0.0030095020152991554
10463420,0.06269453446232896,0.004275902126567899
10463414,0.11235536444843454,0.003446076963399653
10463419,0.061836789066276265,0.0037894434715925606
10463417,0.06763875870166308,0.00518243431202949
10463416,0.08638333022380386,0.0036553592526334623
10463418,0.0622798885490735,0.004961510817871074
42123515,0.1286101514780385,0.002451799993533224
3594268,0.15824796812714642,0.006348986094003073
3594267,0.163179700812016,0.00679981363885897
3594269,0.1749874617133428,0.005674843389815987
80116992,0.08150648705630491,0.0037875100163843136
78132936,0.12002464415708813,9.779542358626502e-4
78134289,0.07166614942239087,0.0034324097882304297
78134290,0.061718988750947584,0.0035839976746475447
78132739,0.09573247261020468,0.0025960143753004936
78134514,0.1095281529315811,0.0030484843791220868
78134164,0.10797676141827708,0.003031683983026793
78132932,0.13008676410666445,0.006112817090566768
10463185,0.1308783536212513,0.0076932255600096165
80118864,0.0900828143412533,0.00628328938779724
10463215,0.16749219949414793,0.0029979150794142077
78134391,0.15312976619667723,0.002037300147897608
78134390,0.15944406679760215,0.0023950817629085027
80116889,0.14210794545786629,0.0027158016592995697
80116891,0.1370190568745378,0.001468081760850017
80116890,0.13613889186794373,0.0015779088403676117
80118398,0.1293592310984159,0.001075545738855284
3594117,0.08076706586312417,0.0034713897878000085
80118495,0.13007792501835308,0.0012904121107190866
80118840,0.08208975935605613,0.0018516244177520453
3591768,0.11375997349177756,0.004777763518181062
78133160,0.14282732936187614,0.005233446673240417
78134771,0.1548080992163872,0.0024395252228276215
10463526,0.10550659445549905,7.454180054695474e-4
10463525,0.11424639093647136,6.868897076145039e-4
80118464,0.13765757982207616,0.0034593072504374768
78134482,0.18537887751041304,0.005568384614481256
78136376,0.09717035849597873,8.32126071201836e-4
3595367,0.14935045092642346,0.008734591222498308
80116884,0.12244575154046489,0.005294490099232599
80117239,0.16088721278170712,0.002349528848779934
78134859,0.07806311492096447,0.001045859201045825
10462941,0.10336425497284718,5.6819778335009e-4
10464055,0.133157161144078,9.147193218262562e-4
78134056,0.06400505759350845,0.0016706850019524485
80117116,0.1701574732268721,0.0021892518531266827
5520195,0.12031737720562309,0.004515974715455189
3591999,0.14318514285652684,0.00348249814550319
80119058,0.1251010594566787,0.0018756047410651276
42124540,0.12841477896514103,0.0038562048316435177
80117722,0.11854130165541167,0.0023206747002804903
3594466,0.11391628201074364,0.0027718494941027967
3592065,0.06333834087721667,0.002643943933942908
42125747,0.15819438521192508,0.00226887454294054
78133902,0.0284884509935891,6.747183033968584e-4
80116938,0.115341599262302,0.002503513779535742
78132629,0.13631389069123032,0.0030282574161081322
10463186,0.0720514669784104,0.004872131682608938
10462862,0.11193505551245295,0.004323155713016063
5521330,0.18786857122201192,0.0032342227897213666
5521329,0.20145942995081337,0.003983133257961758
42124395,0.0966973892767767,0.0041989249214478466
10463524,0.20035708179277842,0.005045871956503368
3594084,0.187862499099704,0.00396018664687595
80117727,0.23058180997553843,0.007117406871294383
80117728,0.24553798848089045,0.002265240272667762
3594404,0.1751586304174585,0.005692515287269268
80119085,0.09340104250923073,0.0013875260771769283
10463312,0.0988230460982712,0.00449988028063023
80117262,0.07766606965139555,0.004493258663733338
42125176,0.13839143155428651,0.00423838542858074
10463164,0.17177414563857776,0.00470731666455461
80118829,0.17550919975159035,0.0065671602066314175
5514213,0.21000019711968843,0.003887450982402156
10463025,0.07311439597104884,0.005721288560488367
42125576,0.11080498681493604,0.0034284597795847973
78133629,0.07136220912269603,0.0025389227515065136
42125802,0.16687870532162788,0.007290602940539577
80118763,0.12866712849058956,0.0028754720006185903
42124663,0.18938198894698163,8.171120381104536e-4
42124662,0.17811762483738333,6.664191651643038e-4
42124661,0.17561700315001216,7.636486563268553e-4
42124758,0.08805035799598679,0.0030010468708947056
10462828,0.08770546857718599,0.0020191997456011487
10463921,0.1309200528778507,0.006808952609871223
5521237,0.14643676670147704,0.004656920521804884
80117634,0.1807164706694475,0.001160662635957081
78134692,0.11879356514698741,0.004772011291860801
78134761,0.10510882197530921,0.005652911119045482
78134760,0.10553592930216152,0.0056787011929358665
3594388,0.18161945775204513,0.00824827734144141
10463578,0.168882217909634,0.004546319449779953
78132493,0.0980742510630298,0.004024649420971313
42123983,0.21310652952963183,0.002015238581633417
78132586,0.08726966288586933,0.003833245529385771
78132958,0.15744021384062326,0.007367164271222513
78132957,0.15746039800363237,0.007669020580440285
78132959,0.1573747139713743,0.0074279248957080475
42125813,0.15510649701344198,0.0032476513379361143
78136261,0.12476932547635289,0.0073275506206618
3595963,0.19734655716498137,0.008206299772357897
3595962,0.21470163256645036,0.0026714206337891794
3595329,0.12149744591762139,0.004626405022023693
42124578,0.11563497477318854,0.012048618029506799
5520277,0.2609025544933289,0.004898595780343838
10462557,0.07290535206884396,0.001559189811096141
78133724,0.07616942018595177,0.002911202030617304
42123952,0.2194447469834353,0.00903173770261837
80116750,0.1074618744964248,0.004720456991051523
80118015,0.1707718803865302,0.004531494525142071
3593988,0.14282527380353727,0.0064745515364923656
10462694,0.12386565536991752,0.0022316353899951243
78134823,0.07311887967851878,0.004524799880528289
80117723,0.10063784436925688,8.780548642246355e-4
10463772,0.15044872062843626,0.0021745905633407726
3592339,0.2286407688706415,0.003217730090224439
78132548,0.045786008352115,0.0015090606377432042
80118852,0.18169097457170635,0.003611520057207481
42123860,0.14545797968195215,0.001146323991593777
3594482,0.13829331493232114,0.006804174623637758
78133396,0.1908742580351889,0.0020868668709432825
5514194,0.11904100252379775,9.447036094260182e-4
42123783,0.056198272190412284,0.002624026564877029
78133974,0.07693970837289321,0.0020901299237273906
42123993,0.1323278857490952,0.00499394632678631
3594475,0.1671660077841432,0.004594959319497235
42124032,0.10065618540622695,0.0033568204236104127
80118409,0.11321574108085794,0.003950752574620528
78133226,0.25017420700173426,0.0016440196020280384
78133227,0.25332821171538633,0.002495929954021133
78133223,0.2509462919399551,0.00368954430613296
78133224,0.22671094740331896,0.0026503193014609763
78133228,0.25044481220664844,0.004277571680913112
78133225,0.2391934369885321,0.00376882736213585
10463314,0.12179914804046404,0.004547612156079573
78133505,0.1115664402195973,0.0026739072602319077
80116761,0.1870543420217951,0.004776300637191989
42125017,0.17817583688918898,0.0014520661901810683
10463555,0.04505712290578612,0.00833134347851865
42125248,0.14600507547867073,0.004997654459196099
78132791,0.10722265879698191,0.005501803407418888
80116974,0.17649272742098832,0.004517686979346301
80118047,0.07839382921788089,0.0049404022295681796
80117876,0.08799465692316419,0.0019408729237212347
10462594,0.10378684818362617,0.0033835292799278527
42125803,0.06333733045227476,8.910218287929133e-4
42123817,0.1868481506862357,0.009867088683714543
42123690,0.1357499527805713,0.004706338288350121
78132945,0.0724300206660559,8.801065745980591e-4
5524249,0.15189087957156105,0.0065965994655742015
42123821,0.12943581651023015,0.0035676351366585833
78133420,0.1038332886337296,0.00839239792526863
5522835,0.18618012293406921,0.003036379560119673
42123622,0.19495177992292054,0.005764259197505224
78133908,0.07211992648291794,6.347664628430635e-4
78133907,0.06956805966027826,0.0017169480850558647
3594387,0.11753636758015762,0.0028060162279464522
78131771,0.14368306798963232,0.006682593087672277
3586684,0.1919050488868757,0.004853905740423711
10463163,0.10882517944490487,0.0015956618429973186
10463213,0.13468226961924437,0.001480556510851186
78133625,0.1518181802796002,0.0010622696843795498
78136383,0.0805351626919069,0.0014891195115385814
80118463,0.15270816509035662,0.0046305180985906635
3591901,0.162112743590385,0.0033334755593460285
80118869,0.07583977899815578,0.005390472134116508
5522818,0.2225102980002922,0.0016826628652655436
80117381,0.21836177084744135,0.005230420922853262
80117382,0.21763204735304828,0.004259185636686788
78133725,0.13140227735900117,0.003768761668490167
3594092,0.19911286499094644,0.008186743656093246
80118926,0.20187207969296936,0.006106057004426477
78132750,0.07733569581784554,0.004600569902199277
78132731,0.10609825378115527,0.0013568666253661672
10464304,0.11399059583538383,0.0024078258940936786
80117299,0.16682785171568018,0.002926573876743926
10462946,0.08958728240762692,0.003305256638795431
80116979,0.10896772316479299,0.006057570591545735
10464303,0.13232317842753458,0.0030979512853007035
10463006,0.14733093277875609,0.0010583171601030385
10463007,0.15747328563079413,0.0034798056855381296
78134030,0.08972146632674527,0.001981780136661386
78136001,0.12122334936952597,0.005451409657934594
3595833,0.13297216037617202,0.004004984626167378
10463042,0.12340560169561557,0.004789991219735017
78134486,0.10452999109272104,0.0010086883156709401
78134023,0.13306325420660223,0.0032484776953592906
80117703,0.13040199984073175,0.003248983446226569
78134126,0.0846338210523181,0.004216758400979252
42124226,0.1154162833247581,0.003209214033104305
42124224,0.11858323941230699,0.004229674708740401
42124225,0.11858895492511842,0.004312871642803904
42126601,0.0807339794548258,0.003685551596803957
80116760,0.10939599385760623,0.001965733553226024
3594433,0.1352124150046866,0.0027043541431404235
10462922,0.09206628092521421,0.0039006859624507173
80116893,0.05928817831240591,0.005994637447253779
80116894,0.0785214649615501,0.006853433053699507
80116895,0.06326202556200182,0.006772294156665044
10462948,0.10009663351118396,0.0024538273617225937
10462916,0.22444816624782798,0.002882549643593991
10462917,0.21577897961714987,0.0016485041371035014
78133893,0.0725479036658808,0.0028873468998992357
78133892,0.06255124707163905,0.003815124458926344
78136119,0.08540931257269437,0.00618973366687632
78136117,0.08278667138132004,0.004892389759609894
78136118,0.08297159805602632,0.004508863220534523
42123486,0.05144391075352968,0.0010372006135298333
80117238,0.14291406623181344,0.00452699949408584
78132983,0.10458754327638653,0.0018940456802635773
78132839,0.1483895538483826,0.0018543967247710755
10462942,0.11875523786751488,0.0031042924311668247
80117246,0.12432447122165363,0.0012135699873908512
80119328,0.11029532894598082,0.003305608969596319
80119329,0.11613843985462675,0.004050656736029661
80117053,0.1510424107881635,0.0013721873155129038
42124728,0.06204389860611723,0.0025541299509839388
42124729,0.0576248189976891,0.00257608533690902
78133033,0.0761361755492205,0.0025447008093532103
5520212,0.13215262783426698,0.004913514560245308
5520213,0.1324897869570976,0.00488455577408455
10463100,0.1332430711764992,0.002631983502728527
5520278,0.20443454792115837,0.009152512267729509
5514350,0.1655494554783489,0.0045657112831659205
5514349,0.16447615992765804,0.0036473048694086836
5514348,0.16480651600937937,0.002994345738925771
5522665,0.24207262653475242,0.005780355764638452
10463432,0.10551508675730177,0.0013598655542439349
10463454,0.18842790655495134,0.004559078010789519
10462035,0.10518280452047882,0.0015612617866503317
5522632,0.10567806682476,0.005918551848130128
5523075,0.19400723654950427,0.004357819780086601
78134320,0.16920231861701537,0.009023121682470395
3595398,0.06138637482201442,0.0015773415991429955
3595397,0.06058584154357909,0.0017599465778486629
3595399,0.06291429771538262,0.001531961259800355
3595401,0.06106684338937909,0.001804987436885555
3595400,0.05961069465894802,0.0016658979829574179
3595479,0.08606627596453727,0.003158219170240183
42124545,0.10214225426919285,0.0030984442729769233
80118762,0.22245322338780654,0.0012750303717616513
42125590,0.26160415084298677,0.002837218753848908
42125591,0.24161661787384814,0.0042149125269165715
42125588,0.25629537048055084,0.0023789677721603045
42125589,0.2615535138381334,0.002765275499675848
42123996,0.08660504560825882,0.006701676713306217
42123995,0.0928616099901715,0.0030218432244441696
3586603,0.10905952519614917,0.002436007321628371
5514306,0.1803634549740015,0.006150561578372656
80118937,0.10580021528149977,0.002111812157802929
80117529,0.11398020239249065,0.006293282853820963
3595913,0.15300232119229945,0.0040327573933083075
42125608,0.05519157568856363,0.0030574150234110335
10462678,0.052703130358851394,0.00105557604701971
10463436,0.10011915163044903,0.0039320448881084045
80118077,0.13133819643149705,0.004330375169128206
42124229,0.2012818903789092,0.007308949240131285
5514457,0.09592165423991193,0.007033297979394936
78133375,0.08193660312376418,0.004568865793532206
80117701,0.14137033723329565,0.0021746868893627765
78136328,0.1684681084804238,0.004991188301265268
78136327,0.1746602081832163,0.0044096621385007785
3595311,0.17142974831659374,0.0029494065700022896
78133952,0.12465214583660038,0.006030798530105447
78135073,0.13702898610305567,0.007732988400303164
42125650,0.07541274442060891,0.002250250447373832
10462036,0.08392005140501345,0.003313628087686993
42125443,0.11722367257952793,0.0029242842588667814
10462872,0.16248667607651532,0.0029565981377395667
3595429,0.2358813808033686,0.003494321201466505
42124551,0.19713838257822883,0.004349508239283662
42124732,0.16380416924766988,0.002597370766636538
42125274,0.08362750042014082,0.006325361022207454
42125275,0.09485713618923791,0.0018874038151166228
5522617,0.1756539007745816,0.005924958466288363
78133639,0.14771641916426612,0.003628271870117951
80117150,0.11870097246322485,0.004921344264390506
3592045,0.15798256416640732,9.61914040617995e-4
78134142,0.06581171265531215,0.004961349245693415
10463198,0.04767760302550468,0.0010854191019676017
42124327,0.1456370628587119,0.0017639719534764215
3591976,0.10076205231938055,0.005921071439358999
80116718,0.15893636093922608,0.0022449611789942016
5521331,0.20754134438122165,0.006013533823710553
